"fonte","total","validos","unicos","duplicados","objetivo","disciplina","statusContrato","acao"
"src/data/apostilas/simulados-por-banca.js","100","20","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/simulados-por-concurso.js","100","20","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/simulados-por-nivel.js","100","22","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/sociologia-enem.js","100","10","82","0","","Sociologia","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/taf.js","70","20","70","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/uso-diferenciado-da-forca-atuacao-policial.js","70","0","43","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/mockQuestoes.js","30","30","30","0","","Direito Constitucional","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/mockSimulados.js","36","36","12","24","","Direito Constitucional","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"storage/content/concursos-militares/pci/test-preview.json","2","2","2","0","","Raciocínio Lógico-Matemático","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"storage/content/fgv-local/fgv-local-report.json","3","3","3","0","","Direito Administrativo","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"storage/content/oab/42-exame/questoes/questoes-extraidas.json","80","80","80","0","","Ética Profissional","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"storage/content/oab/45-exame/questoes/questoes-extraidas.json","10","10","10","0","","Ética Profissional","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
