"caminho","tipo","objetivo","disciplina","assunto","onda","mvp","acao","prioridade"
"storage/content/oab/37-exame/provas/caderno-de-provas-direito-tributario-1tfph6.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/37-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","37o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/38-exame/provas/caderno-de-provas-direito-administrativo-1bumpr.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/38-exame/provas/caderno-de-provas-direito-constitucional-18w6wa.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/38-exame/provas/caderno-de-provas-direito-empresarial-fury8p.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/38-exame/provas/caderno-de-provas-direito-penal-1mu7gw.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/38-exame/provas/caderno-de-provas-direito-tributario-1cunam.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/38-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","38o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/39-exame/provas/caderno-de-provas-direito-administrativo-1djqac.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/39-exame/provas/caderno-de-provas-direito-constitucional-18zaa7.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/39-exame/provas/caderno-de-provas-direito-empresarial-i3q3x5.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/39-exame/provas/caderno-de-provas-direito-penal-cvz7rh.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/39-exame/provas/caderno-de-provas-direito-tributario-1nrwxp.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/39-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","39o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/40-exame/provas/caderno-de-provas-direito-administrativo-1375r6.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/40-exame/provas/caderno-de-provas-direito-constitucional-1dil97.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
