"fonte","formato","total","validos","unicos","duplicados","objetivo","disciplina","acao"
"src/data/apostilas/simulados-por-concurso.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/simulados-por-nivel.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/sociologia-enem.js","","70","70","70","0","","Sociologia","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/taf.js","","40","30","40","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/uso-diferenciado-da-forca-atuacao-policial.js","","70","70","43","27","","","deduplicar por politica, sem exclusao automatica"
"src/data/mockFlashcards.js","","40","40","40","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-combo-pf-prf.apkg","","700","700","700","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-detran-df.apkg","","473","473","473","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-gmf.apkg","","354","354","354","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pcal.apkg","","439","439","439","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pcba.apkg","","438","438","437","1","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pcce.apkg","","494","494","494","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pcdf-agente-custodia.apkg","","342","342","342","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pcgo.apkg","","453","446","453","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pcmg.apkg","","472","465","472","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pcpi.apkg","","403","403","403","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pcsp.apkg","","364","320","364","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pf.apkg","","559","559","559","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pmal.apkg","","483","483","483","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pmba.apkg","","327","327","327","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pmce.apkg","","368","368","368","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pmdf.apkg","","329","329","329","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pmerj.apkg","","275","275","275","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pmes.apkg","","203","203","203","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pmmg-cfo.apkg","","679","672","679","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pmmg.apkg","","279","272","279","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pmpe.apkg","","235","235","235","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pmrn.apkg","","262","262","262","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-ppba.apkg","","369","362","369","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-ppce.apkg","","429","422","429","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-ppgo.apkg","","406","406","406","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-ppmg.apkg","","321","317","321","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-pppi.apkg","","407","407","407","0","","","deduplicar por politica, sem exclusao automatica"
"flashcards-apkg/amostra-prf.apkg","","544","537","544","0","","","deduplicar por politica, sem exclusao automatica"
